r.time,r.userid,r.advertiserid,r.orderid,r.lineitemid,r.creativeid,r.creativeversion,r.creativesize,r.adunitid,r.customtargeting,r.domain,r.countryid,r.country,r.regionid,r.region,r.metroid,r.metro,r.cityid,r.city,r.postalcodeid,r.postalcode,r.browserid,r.browser,r.osid,r.os,r.osversion,r.bandwidthid,r.bandwidth,r.timeusec,r.audiencesegmentids,r.product,r.requestedadunitsizes,r.bandwidthgroupid,r.mobiledevice,r.mobilecapability,r.mobilecarrier,r.iscompanion,r.targetedcustomcriteria,r.devicecategory,r.isinterstitial,r.year,r.month,r.date,datestring,unixtimestamp
2018-11-11-00:21:05,29RKTWiSJCydE9gRuzjMkQ,0,0,0,0,0,,105182937,pos=exclusions;col=kyle_bonagura;col=bonagura_kyle;ed=us;espn_yxbk=87p%2bmr%2fn99ylbooq;league=23;lssegs=_awa_;lssegs=_bbj_;lssegs=_bf1_;lssegs=_bgy_;lssegs=_bq5_;lssegs=_bq8_;lssegs=_br6_;lssegs=_br7_;lssegs=_a56_;lssegs=_blm_;lssegs=_abg_;lssegs=_bd2_;lssegs=_a45_;lssegs=_a43_;lssegs=_bfx_;lssegs=_bgj_;lssegs=_bjn_;lssegs=_bpk_;lssegs=_br4_;lssegs=_bph_;lssegs=_br3_;lssegs=_a5a_;lssegs=_ble_;lssegs=_awt_;lssegs=_ba2_;lssegs=_a59_;lssegs=_a7a_;lssegs=_a57_;lssegs=_bf2_;lssegs=_bha_;lssegs=_bkd_;lssegs=_blz_;lssegs=_a6e_;lssegs=_blq_;lssegs=_ace_;lssegs=_bcq_;lssegs=_br2_;lssegs=_bpr_;lssegs=_bps_;lssegs=_bpt_;lssegs=_br1_;lssegs=_a5q_;lssegs=_blh_;lssegs=_bfa_;lssegs=_be2_;lssegs=_bfe_;lssegs=_be5_;lssegs=_bew_;mnr=f;objid=25237938;pgtyp=story;prof=s;sp=cfb;swid=6e405475-f196-4d30-cdc1-e0a49a345814;tm=2166,comcast.net,2840,United States,21171,Pennsylvania,200577,Wilkes Barre-Scranton PA,1025408,Williamsport,9006810,17701,500072,Google Chrome Any.Any,501013,Android,Android_8_0,502012,wifi,1541913665,1966|53116|65116|70396|145683|155643|155883|156123|163563|214276|264963|265203|266043|398163|401283|410043|411843|412083|418083|418323|418443|422043|453963|470883|559443|598443|699556|831925|832405|1513683|1520043|1551843|1603563|1702563|3994803,Ad Server,1x2,6,sm-g892a_from_Samsung,Phone calls,,false,,Smartphone,false,2018,11,11,2018-11-11 00:00:00,1541895665
2018-11-11-00:45:25,_sZ1EMHdcz4P6Dd2aaXnrw,26569497,2330886854,4763946625,138242598669,1,320x50,105182937,hb_adid=213da83ab4099b;hb_bidder=appnexus;hb_pb=0.61;pos=banner;col=heather_dinich;col=dinich_heather;ed=us;espn_yxbk=3ks41k%2fn999hgkjq;league=23;lssegs=_axw_;lssegs=_a9g_;lssegs=_a58_;lssegs=_bgd_;lssegs=_bgo_;lssegs=_bqn_;lssegs=_bqo_;lssegs=_bqp_;lssegs=_bra_;lssegs=_a6d_;lssegs=_adw_;lssegs=_bcc_;lssegs=_br2_;lssegs=_bpr_;lssegs=_bps_;lssegs=_bpt_;lssegs=_br1_;lssegs=_a5p_;lssegs=_abu_;lssegs=_bd6_;lssegs=_br4_;lssegs=_bpe_;lssegs=_bpf_;lssegs=_bpg_;lssegs=_bph_;lssegs=_br3_;lssegs=_a49_;lssegs=_a4f_;lssegs=_beu_;lssegs=_box_;lssegs=_bos_;lssegs=_br9_;lssegs=_bqu_;lssegs=_bqv_;lssegs=_bqw_;lssegs=_a6l_;mnr=f;objid=roadtochamp111018;pgn=roadtochamp111018;pgtyp=story;prof=s;sp=cfb;swid=c0e3839b-2537-4751-c765-ca281208dd0b;tm=87;tm=333;tm=61;tm=228;tm=194,myactv.net,2840,United States,21153,Maryland,200511,Washington DC (Hagerstown MD),1018611,Hagerstown,9008037,21740,500072,Google Chrome Any.Any,501013,Android,Android_8_0,502012,wifi,1541915125,398163|3994803|4043643|4059003|4078683|4098603|108467650|438584786,Ad Server,320x50,6,sm-g950u1_from_Samsung,Phone calls,,false,pgn=roadtochamp*,Smartphone,false,2018,11,11,2018-11-11 00:00:00,1541897125
2018-11-11-00:51:30,,0,0,0,0,0,,111457977,pos=exclusions;ed=us;espn_yxbk=sac3jk%2fn99ob%2br5q;lssegs=_abg_;lssegs=_bd2_;lssegs=_bpk_;lssegs=_br4_;lssegs=_bpe_;lssegs=_bpf_;lssegs=_bpg_;lssegs=_bph_;lssegs=_br3_;lssegs=_a5a_;lssegs=_ble_;lssegs=_acg_;lssegs=_bce_;lssegs=_bpw_;lssegs=_br2_;lssegs=_bpt_;lssegs=_br1_;lssegs=_a5q_;lssegs=_bli_;lssegs=_av1_;lssegs=_bbo_;lssegs=_bf1_;lssegs=_bgy_;lssegs=_bq5_;lssegs=_bq8_;lssegs=_br6_;lssegs=_br7_;lssegs=_a56_;lssegs=_blm_;lssegs=_awm_;lssegs=_a8a_;lssegs=_a58_;lssegs=_bgd_;lssegs=_bha_;lssegs=_bme_;lssegs=_bqn_;lssegs=_bqo_;lssegs=_bqp_;lssegs=_bra_;lssegs=_a6e_;lssegs=_blq_;lssegs=_a4h_;lssegs=_ber_;lssegs=_a6g_;lssegs=_bqu_;lssegs=_bqv_;lssegs=_bqw_;lssegs=_a6l_;lssegs=_be2_;lssegs=_bfe_;lssegs=_bfa_;lssegs=_bew_;mnr=f;pgtyp=game;prof=s;ref=espn;sp=cfb;swid=9e0a9260-9fba-48e4-c8d7-341af3ab4f6b,,2840,United States,21137,California,200803,Los Angeles CA,1013883,Irvine,9031525,92604,500104,Safari (iPhone/iPod) Any.Any,501012,Apple iOS,iOS_12_0,502012,wifi,1541915490,,Ad Server,1x2,6,iPhone_from_Apple,Phone calls,,false,,Smartphone,false,2018,11,11,2018-11-11 00:00:00,1541897490
2018-11-11-00:45:25,,0,0,0,0,0,,21618817081,pos=wallpaper;ed=bd;kvpt=livescorecard;kvseriesid=18815;kvsite=zimbabwetourofbangladesh201819;mnr=f;pgtyp=game;prof=xl;sp=cricinfo;swid=3057b6f1-42c7-4140-c10b-728fdafc8373,,2050,Bangladesh,9070356,Dhaka Division,0,,0,,0,,500015,Firefox Other.Other,501032,Microsoft Windows 10,,502004,dsl,1541915125,,Ad Server,1680x1050,3,,,,false,,Desktop,false,2018,11,11,2018-11-11 00:00:00,1541897125
2018-11-11-00:33:16,GjK_O9ycV99Dro1e6eMgVA,24618177,2189794493,4495864968,138242242012,1,320x50,155941737,gm=fba;lssegs=_av9_;lssegs=_bbm_;lssegs=_bf1_;lssegs=_bgy_;lssegs=_bq5_;lssegs=_bq8_;lssegs=_br6_;lssegs=_br7_;lssegs=_a54_;lssegs=_a32_;lssegs=_bet_;lssegs=_a6f_;lssegs=_box_;lssegs=_bos_;lssegs=_bqt_;lssegs=_bqu_;lssegs=_bqv_;lssegs=_bqw_;lssegs=_a6k_;lssegs=_abk_;lssegs=_bdz_;lssegs=_bnh_;lssegs=_br4_;lssegs=_bpe_;lssegs=_bpf_;lssegs=_bpg_;lssegs=_bph_;lssegs=_br3_;lssegs=_a48_;lssegs=_axn_;lssegs=_a79_;lssegs=_a58_;lssegs=_bf2_;lssegs=_bgo_;lssegs=_bqn_;lssegs=_bqo_;lssegs=_bqp_;lssegs=_bra_;lssegs=_a6d_;lssegs=_adk_;lssegs=_bcs_;lssegs=_a5j_;lssegs=_bfz_;lssegs=_bgw_;lssegs=_bpr_;lssegs=_bps_;lssegs=_bpt_;lssegs=_br1_;lssegs=_a5p_;programmatic=true;rdid=9624a180-327e-4c91-8af9-c359f912b1b3;sp=fba;swid={15303638-3e8d-4669-8a37-b9d7abd401ae},,2376,Israel,20517,Center District,0,,1007991,Ramla,0,,500072,Google Chrome Any.Any,501013,Android,Android_7_1,502012,wifi,1541914396,,Ad Server,320x50,6,sm-g611f_from_Samsung,Phone calls,,false,,Smartphone,false,2018,11,11,2018-11-11 00:00:00,1541896396
2018-11-11-00:45:26,,23943897,2391962141,4801537803,138246302594,1,300x250,105403377,pos=incontent;col=matthew_berry;col=berry_matthew;ed=us;league=2999;league=3080;lssegs=_aw7_;lssegs=_a88_;lssegs=_a58_;lssegs=_bgd_;lssegs=_bha_;lssegs=_bmv_;lssegs=_bqn_;lssegs=_bqo_;lssegs=_bqp_;lssegs=_bra_;lssegs=_a6e_;lssegs=_blq_;lssegs=_avq_;lssegs=_bbs_;lssegs=_bf1_;lssegs=_bgy_;lssegs=_bq5_;lssegs=_bq8_;lssegs=_br6_;lssegs=_br7_;lssegs=_a56_;lssegs=_blm_;lssegs=_aet_;lssegs=_bcd_;lssegs=_a5k_;lssegs=_bfz_;lssegs=_bgw_;lssegs=_bnv_;lssegs=_bpq_;lssegs=_bpr_;lssegs=_bps_;lssegs=_bpt_;lssegs=_br1_;lssegs=_a5q_;lssegs=_blh_;lssegs=_bfa_;lssegs=_bfe_;lssegs=_be5_;mnr=f;objid=tmrlovehate181108;pgn=tmrlovehate181108;pgtyp=story;prof=xl;ref=espn;sp=ffl;swid=dc27e1ac-77f3-4d2c-bb2b-44ea372df937,comcast.net,2840,United States,21165,New Mexico,200790,Albuquerque-Santa Fe NM,1022494,Albuquerque,9030463,87123,500159,Safari 11.Any,501008,Macintosh,,502018,adsl2-12mbps,1541915126,,Ad Server,300x250|300x600,3,,,,false,,Desktop,false,2018,11,11,2018-11-11 00:00:00,1541897126
2018-11-11-00:27:11,,4601616899,2359476912,4749566110,138239748078,1,1x1,122885577,hb_adid=4d23d50331736c;hb_bidder=appnexus;hb_pb=0.00;pos=banner;ed=us;espn_yxbk=g5s7wm%2fn99y10m5q;espnapp=webview;lssegs=_abl_;lssegs=_bdz_;lssegs=_bpk_;lssegs=_br4_;lssegs=_bpe_;lssegs=_bpf_;lssegs=_bpg_;lssegs=_bph_;lssegs=_br3_;lssegs=_a48_;lssegs=_bld_;lssegs=_bsp_;lssegs=_buf_;lssegs=_brr_;lssegs=_bty_;lssegs=_ach_;lssegs=_bca_;lssegs=_a5j_;lssegs=_bn4_;lssegs=_bpr_;lssegs=_bps_;lssegs=_bpt_;lssegs=_br1_;lssegs=_a5q_;lssegs=_bli_;lssegs=_awf_;lssegs=_bbl_;lssegs=_bgc_;lssegs=_bgy_;lssegs=_bq5_;lssegs=_bq8_;lssegs=_br6_;lssegs=_br7_;lssegs=_a55_;lssegs=_be2_;mnr=f;pgtyp=boxscore;prof=s;rdid=5f216cf3-702b-473d-91d4-c7aa28299aa9;sp=nba;swid={3ee09597-ae1a-4969-a095-97ae1a396941},,2630,Puerto Rico,2630,Puerto Rico,0,,9062328,San Juan,0,,500072,Google Chrome Any.Any,501013,Android,Android_8_0,502013,carrier,1541914031,,Ad Server,320x50,7,sm-g965u_from_Samsung,Phone calls,T-Mobile in US,false,hb_pb=0.00,Smartphone,false,2018,11,11,2018-11-11 00:00:00,1541896031
2018-11-11-00:21:06,,0,0,0,0,0,,106942617,pos=exclusions;ed=us;espn_yxbk=7wdmjk%2fn99yfpr5q;lssegs=_abj_;lssegs=_bd8_;lssegs=_bn3_;lssegs=_bn0_;lssegs=_br4_;lssegs=_bpf_;lssegs=_bpg_;lssegs=_bph_;lssegs=_br3_;lssegs=_a5a_;lssegs=_ble_;lssegs=_ach_;lssegs=_bca_;lssegs=_a5j_;lssegs=_bn4_;lssegs=_bpr_;lssegs=_bps_;lssegs=_bpt_;lssegs=_br1_;lssegs=_a5q_;lssegs=_bli_;lssegs=_av3_;lssegs=_bbl_;lssegs=_bf1_;lssegs=_bgy_;lssegs=_bq5_;lssegs=_bq8_;lssegs=_br6_;lssegs=_br7_;lssegs=_a56_;lssegs=_bll_;lssegs=_aym_;lssegs=_a9g_;lssegs=_a57_;lssegs=_bf2_;lssegs=_bgo_;lssegs=_bme_;lssegs=_bqn_;lssegs=_bqo_;lssegs=_bqp_;lssegs=_bra_;lssegs=_a6e_;lssegs=_blp_;lssegs=_a3w_;lssegs=_bes_;lssegs=_a6g_;lssegs=_boz_;lssegs=_bqt_;lssegs=_bqu_;lssegs=_bqv_;lssegs=_bqw_;lssegs=_a6l_;lssegs=_bfe_;lssegs=_be2_;lssegs=_bfa_;lssegs=_bey_;lssegs=_be6_;mnr=f;pgtyp=team;prof=s;sp=cbb;swid=d9d1a775-48c6-40dc-c0d2-bec006f9fe92;tm=gonz,myvzw.com,2840,United States,21180,Washington,200819,Seattle-Tacoma WA,1027744,Seattle,0,,500104,Safari (iPhone/iPod) Any.Any,501012,Apple iOS,iOS_12_1,502013,carrier,1541913666,,Ad Server,1x2,7,iPhone_from_Apple,Phone calls,Verizon in US,false,,Smartphone,false,2018,11,11,2018-11-11 00:00:00,1541895666
2018-11-11-00:45:26,DvBKD-Ghw8RSR0WUMXrQpA,0,0,0,0,0,,21618817036,pos=presbyheader;ed=bd;kvpt=livescorecard;kvseriesid=18815;kvsite=bangladeshvszimbabwe2ndtestzimbabweinbangladesh201819;mnr=f;pgtyp=liveindex;prof=l;sp=cricinfo;swid=9c3d0534-6f86-4078-c080-75a5fc1da70e,,2050,Bangladesh,9070359,Chittagong Division,0,,0,,0,,500072,Google Chrome Any.Any,501011,Microsoft Windows 7,,502017,adsl-8mbps,1541915126,,Ad Server,125x65,3,,,,false,,Desktop,false,2018,11,11,2018-11-11 00:00:00,1541897126
2018-11-11-00:15:01,,41151777,2371636748,4775920260,138243287048,1,300x250,104358177,pos=incontent2;col=espn_nfl;col=nfl_espn;ed=us;espn_yxbk=p69s1r%2fn99e0pi5q;league=28;league=2999;league=3080;lssegs=_avy_;lssegs=_bbr_;lssegs=_bf1_;lssegs=_bgy_;lssegs=_bq5_;lssegs=_bq8_;lssegs=_br6_;lssegs=_br7_;lssegs=_a56_;lssegs=_bll_;lssegs=_axl_;lssegs=_a8k_;lssegs=_a57_;lssegs=_bf2_;lssegs=_bha_;lssegs=_bmu_;lssegs=_bqn_;lssegs=_bqo_;lssegs=_bqp_;lssegs=_bra_;lssegs=_a6d_;lssegs=_adf_;lssegs=_bcc_;lssegs=_a5j_;lssegs=_bfz_;lssegs=_bgw_;lssegs=_bnj_;lssegs=_bpr_;lssegs=_bps_;lssegs=_bpt_;lssegs=_br1_;lssegs=_a5p_;lssegs=_abe_;lssegs=_bd0_;lssegs=_bn3_;lssegs=_bpk_;lssegs=_br4_;lssegs=_bpf_;lssegs=_bpg_;lssegs=_bph_;lssegs=_br3_;lssegs=_a49_;lssegs=_a3w_;lssegs=_bes_;lssegs=_a6g_;lssegs=_boz_;lssegs=_bqt_;lssegs=_bqu_;lssegs=_bqv_;lssegs=_bqw_;lssegs=_a6l_;lssegs=_be1_;lssegs=_be9_;mnr=f;objid=viewersguideweek10;pgn=viewersguideweek10;pgtyp=story;prof=s;sp=nfl;swid=53815551-9855-41cb-c134-eeee47ff84c4,comcast.net,2840,United States,21147,Illinois,200610,Rockford IL,1016813,Rockford,9021891,61108,500104,Safari (iPhone/iPod) Any.Any,501012,Apple iOS,iOS_12_1,502012,wifi,1541913301,,Ad Server,300x250,6,iPhone_from_Apple,Phone calls,,false,pgn=viewersguide*,Smartphone,false,2018,11,11,2018-11-11 00:00:00,1541895301
